Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
19.01,24,27.22,78.64,27,15,19
17.14,16.43,17.53,21.32,13,20,15
13.01,12.9,12.92,12.68,9,12,9
19.7,16.52,15.14,12.82,12,15,18
26.88,20.15,20.64,59.52,21,20,17
17.55,15.22,18.36,13.95,15,19,15
19.33,16.35,32.77,22.65,19,18,36
18.95,21.68,16.43,13.47,9,15,9
15.92,13.33,18.75,16.81,13,16,16
15.9,15.46,16.3,18.28,11,20,11
22.8,23.49,17.56,27.05,22,24,27
24.04,19.92,24.39,18.19,17,18,15
16.44,17.38,18.51,18.73,18,23,14
17.01,20.12,15.79,22.24,16,12,12
15.36,15.18,12.81,15.02,14,16,19
19.13,11.4,10.85,9.83,15,12,15
16.54,15.62,15.74,17.94,10,10,13
20.37,19.63,32.77,19.05,18,22,14
12.66,14.14,19.46,21.75,15,16,13
18.32,17.32,18.56,20.68,13,17,12
14.63,15.3,15.48,16.39,12,14,11
19.15,19.9,26.03,21.3,23,31,19
21.07,16.87,28.28,22.62,18,18,19
23.99,20.34,24,13.63,29,24,14
15.29,16.97,16.75,17.84,21,12,15
16.99,14.5,15.18,15.78,10,10,8
16.11,14.37,18.44,11.76,11,18,12
24.28,18.47,25.32,27.28,27,19,28
15.38,15.06,12.83,12.38,13,14,11
23.64,19.2,25.81,35.65,23,33,22
28.65,39.22,84,43.34,28,39,20
13.34,13.84,15.45,12.32,12,15,13
15.09,16.45,21.02,21.06,28,19,21
28.3,25.48,14.76,12.85,28,22,30
23.07,28.58,24.17,24.94,15,24,14
15.04,16.21,18.39,13.92,14,13,10
19.36,15.96,25.91,23.74,17,27,13
12,17.62,17.09,11.27,12,17,14
17.88,18.11,14.93,13.69,23,16,16
15.29,14.73,13.96,11.73,11,16,14
15.16,15.59,24.17,14.35,10,19,13
16.21,13.48,11.49,11.45,11,9,11
24.03,16.64,24.1,17.59,19,19,18
18.75,29.36,20.08,19.73,25,22,19
26.24,23.49,17.9,15.98,22,18,23
31.16,72.85,25.49,24.22,30,28,17
21.37,19.93,29.6,25.78,22,20,17
20.27,26.15,23.24,49.11,24,22,24
23.72,27.28,32.34,17.91,15,32,19
24.43,21.93,20.64,23.69,12,17,25
26.48,20.32,33.31,51.37,14,31,28
14.1,16.62,12.5,24.24,20,28,19
19.18,20.85,15.23,16.41,22,37,17
14.82,15.65,12.38,13.23,9,10,10
14.64,17.55,14.75,13.24,13,13,13
17.76,16.42,19.24,24.84,12,14,18
17.89,16.61,18.36,24.44,22,20,15
17.07,18.78,14.16,10.68,12,14,14
18.88,19.32,16.85,13.84,31,19,21
16.4,16.65,16.17,14.12,14,18,17
16.18,15.68,15.98,14.44,12,15,16
23.83,16.39,18.45,19.26,23,23,18
14.02,14.19,13.53,18.93,14,19,12
22.14,18.83,18.85,22.69,19,19,17
58.9,29.63,40.01,54.49,26,24,25
16.32,16.35,14.63,12.42,18,17,10
28.97,31.7,37.64,31.85,15,54,28
15.75,16.71,14.48,12.07,11,13,15
15.1,18.02,24.26,39.15,15,20,24
19.25,26.06,23.12,26.24,18,25,22
32.28,23.52,33.49,20.94,24,18,27
22.64,19.87,21.88,22.76,27,23,21
18.62,28.41,17.67,19.89,13,16,17
14.61,25.23,17.01,15.79,14,16,11
20.35,24.94,26.32,22.84,11,24,15
40.61,44.26,40.32,42.09,29,47,28
14.21,15.08,15.06,14.68,12,15,11
12.51,10.99,13.93,15.15,11,17,10
21.54,21.57,20.87,18.83,16,17,28
13.12,11.48,12,11.37,9,14,11
16.41,13.75,18.42,13.26,12,17,10
30.32,30.91,25.86,21.51,23,15,27
24.27,38.52,25.75,23.13,29,21,31
26.2,23.47,20.2,21.43,24,23,25
21.23,28.26,25.99,23.46,17,38,15
18.07,17.42,17.39,19.28,14,19,12
33.46,22.16,31.67,25.11,40,61,18
16.27,11.92,17.77,17.08,14,21,14
15.93,16.31,14.31,9.58,13,20,22
22.24,52.74,43.3,30.94,30,52,33
14.85,21.86,21.68,18.77,15,23,13
23.21,23.7,31.27,27.51,32,28,35
23.93,35.94,24.66,19.75,10,17,13
14.83,15.49,28.09,21.37,15,19,20
19.47,15.97,16.27,15.31,15,14,10
16.39,15.42,13.87,13.45,13,14,14
23.57,49.82,31.3,16.92,29,38,28
18.95,11.28,16.13,12.99,12,10,10
14.75,16.62,16.43,19.6,21,12,13
19.24,15.19,16.66,14.83,10,15,13
13.1,11.86,17.54,17.09,13,19,15
33.1,38.38,41.14,31.25,39,37,41
18.18,16.51,15.41,16.81,19,18,16
19.19,22.26,18.7,15.08,11,18,14
24.74,24.53,31.57,31.16,23,28,21
31.24,35.47,32.08,21.75,12,38,24
17.33,13.89,13.84,15.58,11,12,12
15.35,17.31,13.65,16.33,9,11,16
26.53,23.73,23.48,19.37,18,13,15
16.39,13.29,14.71,11.38,14,15,13
15.78,18.13,18.92,16.93,11,14,19
44.56,31.87,30.8,19.86,27,24,31
17.21,17.5,21.23,16.83,14,17,17
25.23,27.58,17.37,25.42,22,26,30
23.41,23.73,20.81,16.54,19,32,15
47.07,24.95,63.41,35.22,24,28,21
14.05,21.01,15.18,15.25,12,16,12
16.25,16.54,20.37,12.09,10,16,12
14.96,18.17,14.59,12.76,9,14,14
17.05,15.28,20.79,15.11,15,14,16
17,16.67,14.91,16.69,15,14,20
16.45,12.67,20.16,15.92,20,22,16
30.67,28.22,39.76,38.32,25,25,43
20,15,25,19,30,22,25
21.08,22.23,30.02,18.57,21,20,21
16.24,18.47,15.23,13.21,14,19,18
24.2,22.6,27.58,23.23,16,21,21
15.93,14.43,15.99,10.8,10,14,15
22.76,21.62,23.78,24.64,14,18,19
18.98,20.76,19.82,10.78,9,16,15
16.08,15.37,17.89,14.5,14,13,13
21.94,34.84,26.59,31.32,19,18,42
16.21,12.33,14.58,14.9,12,19,15
15.76,15.44,20.12,15.6,23,18,24
13.95,13.78,13.65,13.2,10,13,13
16.95,20.52,12.05,12.45,14,17,20
15.16,20.21,20.21,19.77,12,16,13
35.19,24.36,30.16,38.91,25,26,39
21.45,21.14,19.18,20.22,20,26,14
26.13,47.65,16.34,34.15,26,22,16
28.91,28.15,31.89,19.61,32,23,23
23.7,22.21,25.06,35.5,20,40,33
38.62,25.85,24.43,37.71,34,21,29
14.46,21.02,13.3,17.74,23,16,11
23.23,45.26,35.59,29.31,20,27,22
14.82,15.98,16.58,12.36,12,13,17
14.45,13.05,26.05,12.43,15,13,16
46.95,44.52,28.01,11.33,17,29,25
17.67,18.78,15.68,14.38,15,17,14
17.35,28.4,32.14,24.55,25,18,18
14.27,14.65,16.26,14.81,13,20,14
19.91,16.73,22.41,20.63,21,25,12
15.73,22.58,25.11,21.11,27,26,14
21.14,23.89,13.26,11.53,16,15,19
18.63,15.1,18.61,18.41,20,20,15
37.34,43.34,28.31,22.54,13,33,19
17.47,16.94,15.41,16.31,14,14,17
24.83,21.22,21.88,15.26,11,31,15
27.32,24.43,25.3,24.43,25,20,22
16.48,13.43,14.98,14.96,16,17,13
17.44,15.88,13.35,14.18,17,8,15
17.93,25.13,20.87,20.45,24,18,16
25.33,26.33,16.6,53.58,13,21,15
15.52,12.57,17.44,16.97,18,17,11
43.45,25.58,33.63,67.04,48,33,34
19.24,16.95,16.15,31.78,23,27,14
22.4,21.61,18.04,14.71,14,14,12
19.47,17.1,17.42,31.67,20,24,13
15.33,23.96,22.65,16.92,14,16,12
45.02,26.62,20.87,29.66,33,14,35
25.15,34.3,27.59,22.79,16,11,42
14.4,13.73,14.77,14.07,12,14,11
