Original Image,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
273.8629322,70.93760395,82.51962907,102.5784774,287.3405962,284.0840504,92.36618602
106.579828,135.6123662,156.6442987,177.0083764,150.9282703,196.3360874,172.5756744
316.5632462,92.04789674,110.0581048,119.4937635,357.9752517,346.1282514,122.4989221
20.42279492,102.185119,114.818316,145.6115183,85.84109367,63.89097224,178.8842618
17.07259884,105.3073015,108.0097698,133.7892716,81.03700436,58.66236447,146.3631817
66.14218869,87.7023572,103.4753156,107.9957252,98.08350527,178.4908151,119.6420231
143.4716007,148.3770385,143.9101796,181.7162898,126.0210007,176.2047568,135.1179606
55.48289831,91.16560551,109.8349175,131.2586353,100.317759,121.88828,143.1687285
65.04856995,86.80852674,104.8642951,115.6898431,99.3124627,126.3716436,157.9287399
154.444387,152.2585593,176.4562404,221.0862047,157.620942,224.6807114,217.5829657
162.058873,158.6827305,185.1713602,191.4914456,162.3472336,240.9479094,216.3595485
67.85723611,89.14839336,90.16031329,104.5174541,92.97488321,115.5872883,222.2508077
46.65674916,107.678708,121.8034375,141.4804534,95.82786411,101.6667333,169.3872314
112.8292023,129.0149153,151.3376716,161.3917301,134.2485037,194.230779,219.8313411
91.97209222,108.7308089,116.6557511,140.2146638,119.4782361,139.4607991,125.33512
45.01655271,110.8795348,113.0886017,140.3375046,87.510651,94.23262268,138.1745553
34.83736041,101.9501256,104.3368118,105.0478272,84.15683812,83.49478869,136.8982965
65.7942961,80.82834817,114.0993322,82.64616381,94.07388463,116.1010943,182.9822336
77.42276999,93.42751662,123.4092409,147.0838271,100.5800281,137.4385931,184.1246053
65.38637801,87.10758219,106.554956,136.5067253,101.9325246,126.4296545,173.2182254
93.10362405,110.3933804,127.4579512,147.0821195,122.7118911,157.5356628,158.746582
268.250593,61.89721037,86.75341407,110.1835426,278.6597099,275.7297318,96.18756745
123.9095475,142.497695,155.1691026,189.6614774,135.4691725,194.5426191,165.0420092
24.55708833,96.45147073,104.9065748,123.6477552,81.62430856,147.7946057,193.8275608
60.0171822,100.311795,94.0148761,123.7743923,90.74068792,83.32758688,381.5301676
92.07240572,103.1845335,117.400752,135.3407239,121.7216704,140.3947333,167.11064
106.4846291,122.5806333,134.8616164,154.9866128,127.8117373,162.18974,145.8125546
34.22822869,123.1133224,126.5214232,148.7584257,90.88010765,71.04187925,190.5017013
97.31337834,104.1506197,128.686799,155.655673,129.6348145,140.931059,101.9163889
72.96428754,130.2729962,132.9365766,162.7159437,115.5147163,139.874766,165.2881256
95.93786008,111.5024401,131.9750002,156.1161141,117.1741301,196.3261534,177.4121526
82.66218519,105.9339092,122.8480963,164.2945777,110.8359544,140.9096976,130.9391908
70.63823124,90.9135136,94.94940449,109.6820071,95.65915161,155.0463793,135.2248792
81.79662226,98.14960928,112.5623957,139.9432167,103.9220083,133.4751985,188.5834261
58.72525004,75.98343476,103.8768357,141.0422575,88.85939286,117.2234969,101.3801197
102.3901278,113.4018403,132.1599897,125.1762298,132.0367923,174.2733205,219.6909903
46.30076673,89.59248209,112.8911712,144.0157341,93.46752383,110.3466442,136.4282331
63.74411789,83.24613656,97.10766142,118.3957961,85.14864804,112.5284455,144.8762422
89.98973402,102.3149912,123.2588622,137.9686416,118.9250652,153.3747808,133.1370571
80.1622214,100.5270182,128.328663,147.9631331,123.8894473,131.2884687,233.5458043
29.63018362,89.0028571,90.04476689,95.83750988,79.63976302,91.77402767,151.0708959
129.9537106,125.5714911,122.6655331,148.4342444,118.9783053,165.3637847,130.8908016
80.17821901,77.85754504,111.9626103,114.1223603,88.72635277,125.666259,239.2564831
20.66765357,118.7973513,121.12471,142.9567126,97.46685614,76.00906558,182.2296204
162.441568,152.5493279,168.091597,215.4750521,147.2923894,207.5656669,177.9058366
27.0755367,64.37977145,92.12478849,125.0867788,65.22321413,86.20169632,164.0464747
159.1138214,168.1644917,167.7194535,193.6253092,151.2232644,231.8454719,238.5898711
104.1623405,115.1695827,123.2031927,175.4984014,107.4740595,145.2112554,148.2854134
51.51898903,86.39972409,102.4279576,116.3293778,91.89657118,114.1239153,100.8055152
64.11235253,104.6903388,109.7427787,140.1178313,91.91108383,114.564038,141.4120777
64.13450572,103.5511493,127.9898091,164.2206531,101.7255669,155.4438218,154.5101123
126.6967038,140.8876945,162.2101369,162.5770117,145.5798507,217.010047,231.7232838
26.66752323,71.20307114,104.0384302,123.5583549,72.36125708,51.28819302,109.8509857
