Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
58.12,20.9,20.52,8.45,36,45,19
26.51,29.64,24.08,19.75,33,17,30
66.46,46.22,44.02,18.69,51,44,35
23.12,30.81,10.85,8.45,29,16,14
32.95,38.3,18.66,7.28,37,22,15
33.73,41.56,22.91,14.34,37,23,25
41.97,45.14,28.25,10.39,33,21,16
33.14,41.39,29.3,8.22,35,35,23
63.31,43.87,14.87,12.74,36,28,26
44.8,51.38,29.79,10.51,41,34,19
47.19,26.25,14.75,7.05,18,25,13
40,46.86,32.26,14.81,47,18,39
47.66,54.21,29.69,9.66,41,35,48
34.15,36.88,22.82,13.37,29,13,31
29.12,34.08,19.34,9.77,30,17,28
53.13,54.62,29.82,14.52,48,25,39
37.77,39.94,28.25,14.28,39,20,18
44.15,47.75,20.48,8.74,36,15,28
44.49,46.31,25.72,9.66,34,34,47
37.96,43.85,36.38,9.28,44,36,53
26.43,40.97,23.35,6.94,39,32,25
33.97,43.41,23.37,8.91,42,19,28
37.88,41.89,25.25,8.56,40,28,32
42.58,41.62,25.15,9.63,36,13,24
35.3,42.67,12.62,12.24,23,11,18
48.33,39.53,29.64,11.99,45,43,17
38.75,45.1,23.01,9.3,47,12,28
38.7,45.94,24.06,5.5,43,22,35
37.34,47.51,17.65,6.51,29,19,29
32.86,38.49,24.32,18.3,40,26,27
35.33,36.27,24.31,18.01,37,21,31
38.11,44.96,30.03,9.58,37,25,39
47.47,46.78,22.42,6.99,35,25,25
44.31,36.95,8.58,14.71,25,13,17
39.88,41.76,32.52,11.96,37,29,40
28.16,27.6,16.18,12.86,26,18,20
37.55,42.19,16.86,11.57,31,16,21
57.63,58.48,33.92,8.69,40,22,43
42.07,39.42,20.66,9.23,28,25,20
41.01,46.72,20.41,9.22,31,13,15
32.5,41.64,20.32,11.56,41,14,16
55.23,55.48,47.4,36.78,35,39,35
42.68,46.49,23.64,7.3,40,26,37
52.27,50.84,35.39,14.57,48,34,41
37.44,44.7,28.79,8.02,42,21,30
52.14,41.62,17.63,6.81,15,32,23
30.35,33.95,22.59,16.54,38,14,26
58.5,56.2,29.59,9.17,43,10,37
52.49,50.07,21.45,5.74,33,28,43
47.19,43.88,21.62,9.64,35,14,19
58.37,55.89,37.24,12.99,41,41,44
41.08,42.67,28.9,9.45,40,26,40
57.34,63.6,26.73,12.97,40,26,58
44.61,43.52,17.89,9.67,20,13,24
49.46,53.88,37.98,27.74,49,28,50
49.1,53.29,23.27,8.44,40,18,26
7.69,54.35,50.55,29.42,53,49,51
49.51,56.57,28.62,6.43,41,28,48
49.46,54.45,28.52,17.72,22,15,15
32.95,46.51,34.07,12.57,45,16,46
48.16,56.56,46.87,21.18,47,9,44
39.13,40.17,17.7,10.02,35,29,32
59.94,33.83,13.05,10.46,29,26,27
53.99,61.01,41.58,8.31,40,33,47
61.33,62.88,31.98,11.36,49,26,42
