Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
26.95,21.89,22.85,15.02,11,24,16
17.74,23.32,52.05,23.76,27,41,21
21.31,22.43,17.82,7.65,10,15,12
29.77,30.57,18.85,30.24,19,50,22
15.92,13.72,13.52,15.78,24,14,9
16.84,16.77,13.15,13.49,13,8,12
14.46,14.46,16.84,15.35,10,14,13
19.77,19.28,18.67,12.06,19,14,17
12.25,17.18,14.83,9.47,8,17,15
17.8,16.18,15.54,10.05,9,18,16
21.63,30.31,34.27,21.24,30,25,20
14.51,19.21,14.38,11.25,9,17,11
15.5,15.85,14.27,13.52,10,15,10
17.84,16.52,13.07,11,11,13,10
16.31,17.94,14.63,11.85,10,15,9
15.65,16.9,23.95,15.27,31,27,16
12.48,16.67,17.6,14.25,14,18,16
13.14,15.47,20.43,16.83,21,20,14
14.33,14.1,14.14,11.55,12,14,11
17.33,16.15,16.57,23.44,15,20,12
17.98,14.61,14.31,13.74,11,14,11
13.05,17.3,26.05,13.98,14,9,13
18.57,15.7,12.5,8.55,12,17,13
16.66,20.16,25.1,17.92,11,14,12
20.38,18.39,21.99,18.66,12,18,10
15.15,17.5,16.78,15.02,14,21,15
16.28,17.02,19.96,11.8,13,21,14
14.58,14.43,17.97,10.93,13,22,12
24.2,16.62,15.18,12.91,15,21,11
18.86,21.6,26.48,18.27,29,24,18
18.49,16.65,16.76,9.55,13,18,14
21.82,25.78,49.48,23.64,20,21,34
19.16,15.58,19.01,24.56,16,12,28
21.2,15.17,17.8,14.55,14,16,21
20.02,21.19,17.81,16.91,18,18,14
20,15,25,19,30,22,25
15.4,24.85,35.66,24.55,34,37,28
16.05,12.83,16.4,8.16,10,9,11
19.44,15.53,14.77,11.96,23,16,20
15.31,15.51,12.49,11.63,13,15,12
14.71,13.88,14.56,10.23,8,22,10
19.21,31.45,22.6,15.58,12,20,11
16.47,16.95,41.58,19.68,18,25,16
13.29,14.89,12.72,12.3,14,14,20
18.74,14.89,17.66,15.61,17,16,17
13.54,13.55,18.92,9.65,10,15,18
17.93,19.19,21.29,29.93,22,27,15
20.14,17.83,15.31,12.85,13,10,9
16.62,15.02,18.27,22.53,17,18,25
18.55,14.36,25.34,23.53,21,9,18
18.45,16.52,17.66,19.17,12,14,14
16.84,17.06,13.11,11.92,12,15,12
18.53,19.88,13.39,7.3,15,17,10
16.48,21.76,23.02,10.47,12,18,18
13.87,17.32,18.95,10.31,11,16,14
14.98,14.65,25.17,12.97,13,12,16
15.3,14.84,13.73,10.89,8,15,13
30.25,19.62,22.93,20.61,30,28,16
16,18.23,14.73,11.73,14,13,15
17.5,13.62,15.53,14.26,13,11,12
28.72,25.93,25.59,18.52,23,18,30
15.02,16.21,17.37,11.18,21,22,10
15.68,13.51,14.3,12.18,12,16,12
23.05,18.58,17.3,16.55,24,19,21
17.93,13.2,15.58,18.92,11,16,11
14.84,13.3,18.79,11.24,10,14,13
18.57,14.3,23.78,14.87,10,13,14
21.21,18.43,21.1,21.57,15,19,14
24.66,21.61,21.95,17.18,21,20,17
15.69,14.15,14.81,14.44,22,19,12
15.56,15.32,15.26,9.04,9,20,15
16.76,16.18,19.51,16.16,13,9,18
13.45,13.12,17.75,16.97,18,13,11
15.89,19.81,20.08,16.23,12,18,18
16.06,17.15,13.6,12.9,14,15,15
14.68,14.94,19.58,15.86,15,13,13
20.29,21.54,19.41,14.95,22,25,37
17.29,16.29,13.95,12.04,10,17,13
15.78,16.73,14.86,12.93,10,14,15
13.69,15.24,15.31,13.65,19,35,10
50.24,27.8,68.96,76.17,27,38,40
17.94,26.79,23.12,19.16,12,20,19
13.61,11.64,17.42,11.32,13,7,13
12.45,15,12.54,12.96,13,15,10
18.87,25.06,41.01,33.45,24,41,21
17.73,17.16,15.56,20.3,17,15,13
19.8,15.37,14.66,13.77,13,18,12
15.58,16.37,20.12,9.83,13,17,15
38.05,37.81,32.12,26.51,25,40,17
17.53,19.94,15.01,13.13,12,15,11
18.64,10.13,9.58,10,15,13,17
14.05,14.51,14.17,13.85,14,19,14
17.52,18.93,13.12,9.79,11,17,17
12.45,12.41,15.21,10.39,10,16,13
15.51,13.43,15.51,10.95,12,20,14
21.79,21.97,17.89,15.29,13,17,12
14.77,17,17,9.96,12,26,20
16.92,17.29,15.73,13.34,13,17,10
20.68,19.42,13.65,16.94,13,17,12
14.4,15.51,14.3,21.06,14,10,16
19.18,21.59,20.54,14.7,21,20,14
18.23,18.42,18.3,18.65,13,18,10
20.69,20.87,23.45,28.84,14,20,16
13.65,11.72,10.36,7.69,8,15,10
23.02,26.87,30.61,27.82,25,31,30
12.7,14.66,21.16,8.39,17,18,17
15.08,14.41,13.8,12.94,25,16,11
18.87,22.19,22.74,24.95,33,21,21
19.55,18.15,24.79,19.44,18,30,14
14.96,13.49,12.77,13.51,16,11,12
34.73,35.93,21.67,19.07,13,34,17
13.72,13.74,14.72,9.74,12,14,11
19.05,19.25,22.6,20.23,14,24,13
22.52,19.47,30.78,9.43,10,22,17
13.79,17.09,13.4,10.79,11,13,18
14.27,16.9,21.88,12.52,10,28,16
14.66,18.33,14.68,9.54,9,18,10
21.49,14.85,19.34,13.19,10,12,13
14.45,16.29,30.15,22.81,17,16,32
17.36,15.71,18.67,16.97,18,19,13
16.52,16.65,14.73,12.47,13,14,14
14.71,15.77,21.18,10,16,20,19
13.26,13.19,13.9,9.33,9,12,14
34.41,50.07,36.87,24.44,24,40,41
16.51,15.31,17.95,10.04,13,22,24
18.85,21.98,17.39,13.54,10,27,10
15.64,15.39,17.19,10.21,12,10,12
14.86,19.19,15.58,10.79,18,9,15
33.39,20.54,30.43,22.5,19,28,16
20.36,16.34,18.02,12.15,14,26,11
15.11,15.5,16.34,14.2,14,22,18
12.8,12.8,12.64,8.62,11,13,12
22.14,13.6,19.02,21.38,21,22,9
39.34,44.29,35.37,46.16,38,41,21
15.51,13.7,17.9,17.5,11,9,14
15.34,15.6,19.12,9.92,19,11,14
17.97,26.08,16.82,11.63,12,18,16
16.34,15.76,17.84,15.68,20,18,9
16.31,16.49,16.75,23.05,16,13,13
21.79,24.76,19.2,17.71,20,10,13
27.49,26.21,22.62,14.07,21,27,15
20,15,25,19,30,22,25
46.59,25.14,23.05,15.27,10,20,31
13.73,17.7,16.33,9.64,9,17,13
13.83,14.33,18.58,11.6,11,17,14
18.19,22.74,20.29,10.83,16,13,14
55.82,43.3,42.78,24.88,18,20,14
18.04,17.63,20.55,18.36,20,22,12
32.23,25.07,32.53,26.63,25,21,25
14.16,17.91,13.85,10.79,18,13,17
15.59,15.72,15.66,11.41,12,14,16
16.34,14.93,23.65,18.19,16,14,14
17.36,16.93,23.45,18.28,12,17,12
23.68,50.39,58.18,13.18,16,20,18
20.54,15.8,22.09,14.16,14,21,17
17.67,24.38,20.05,7.89,13,21,10
21.34,21.09,25.12,8.3,11,56,58
16.51,13.86,13.57,9.91,11,14,11
25.38,32.92,39.24,27.15,23,23,16
78.42,51.09,45.52,18.55,27,36,25
20.39,40.45,46.76,29,15,22,13
22.32,42.08,31.68,22.95,21,28,19
16.58,17.69,18.12,15.7,10,18,11
15.34,15.46,16.32,7.51,8,16,16
14.1,15.3,16.03,12.18,9,11,13
18.4,15.87,19.99,16.48,12,19,11
22.91,24.42,28.05,26.42,13,13,19
17.05,12.75,16.62,10.74,12,10,13
23.28,15.46,19.18,14.8,25,23,15
18.85,19.3,16.17,14.14,16,16,16
25.48,47.56,22.48,24.7,16,38,21
16.12,16.88,21.36,14.86,14,22,22
13.52,13.19,15.35,15.56,14,15,12
37,41.02,33.66,31.51,23,19,19
13.17,13.04,13.33,7.92,10,15,10
14.34,16.79,17.35,7.65,9,15,17
15.29,14.35,13.51,13.18,15,10,14
26.86,35.14,38.72,31.52,25,11,14
20.57,20.19,19.22,20.12,12,8,23
12.77,15.83,11.47,10.19,8,10,11
17.31,31.19,18.92,20.67,23,23,11
16.62,22.18,27.96,21.49,16,11,18
15.81,17.05,20.16,12.48,11,8,12
13.67,13.99,14.49,10.45,14,19,13
58.24,66.15,29.03,20.18,16,29,15
20.66,14.22,15.81,25.14,11,16,14
13.98,14.65,19.6,14.07,9,17,13
15.4,15.21,17.11,11.61,13,17,17
24.6,27.14,17.52,24.07,16,21,13
20.63,12.66,12.76,13.45,15,17,14
17.14,16.57,17.19,19.35,21,12,20
26.7,34.22,31.5,27.21,25,40,31
15.57,14.08,18.57,9.45,12,15,11
16.71,21.5,17.28,16.55,15,12,13
21.67,16.6,22.86,28.55,16,9,12
17.13,15.68,15.53,8.78,11,18,13
19.43,19.64,17.53,12.77,43,26,31
20.94,23.87,18.8,16.14,14,16,14
17.56,18.88,16.75,13.38,17,23,17
20,24.75,29.79,18.92,12,23,13
15.9,14.98,14.39,9.83,12,15,14
24.52,27.75,27.56,26.34,17,21,22
20.27,16.89,15.77,11.96,17,9,16
36.32,32.48,28.83,26.64,24,19,22
15.05,13.78,17.18,14.07,13,20,10
20.16,17.99,19.34,12.16,16,18,19
14.71,13.26,16.18,9.59,9,13,14
18.29,14.78,16.43,8.04,10,16,14
18.22,16.74,12.04,12.03,10,18,9
15.54,15.95,14.98,17.26,10,10,13
20.72,23.88,20.25,15.27,12,19,15
24.66,19.95,22.21,18.43,12,32,16
17.95,13.76,16.1,14.88,14,16,11
13.76,15.44,19.12,14.6,13,7,20
17.95,19.3,18.91,15.3,16,28,16
13.76,11.5,16.39,8.48,11,17,14
23.55,27.81,25.16,17.98,17,15,20
14.32,15.18,15.05,7.23,11,11,12
14.6,20.04,19.62,11.48,14,23,15
15.08,16.68,18.34,14.44,12,21,16
26.41,25.31,19.27,18.53,17,19,23
15.35,20.17,15.64,12.19,22,17,19
22.04,14.46,15.4,19.41,11,19,16
21.42,19.32,15.23,13.54,14,20,11
18.79,22.92,14.85,14.87,14,17,15
15.13,15.68,12.75,11.38,14,12,18
22.24,23.87,20.54,28.27,21,18,13
14.68,17.92,19.06,19.26,9,30,15
15.8,14.54,20.47,11.39,15,8,16
25.69,33.09,19.65,12.48,16,12,14
16.53,14.95,19.57,19.32,20,22,13
18.44,17.58,15.44,15.33,15,20,18
15,16.13,22.31,11.76,13,22,13
29.45,17.62,18.83,20.73,13,33,41
15.17,13.12,15.95,9.57,11,17,10
22.97,16.47,15.89,11.39,16,15,15
17.12,14.52,15.56,10.2,13,21,15
14.21,13.36,13.99,8.92,9,19,13
23.35,28.51,25.39,21.9,20,35,21
13.79,16.12,15.8,8.61,9,14,10
14.34,13.06,17.07,9.68,11,12,13
18.07,17.38,12.87,10.08,14,25,17
22.47,17.67,17.67,12.57,16,14,8
19.16,26.66,13.98,11.94,12,14,15
14.53,13.13,13.57,7.16,10,15,13
17.37,16.92,25.66,25.59,12,24,17
29.65,21.69,33.59,20.69,16,14,19
14.29,14.18,20.92,9.98,11,8,12
14.63,14.21,16.6,7.5,10,9,11
17.16,23.92,23.4,21.79,11,18,20
17.27,15.1,14.29,13.72,11,13,10
12.62,12.3,11.84,7.75,7,12,12
17.88,20.3,17.47,17.22,14,17,24
18.68,16.48,21.79,18.83,19,16,13
15.75,14.35,14.03,11.51,17,19,13
17.65,17.3,18.71,12.5,10,18,14
13.04,13.95,13.87,13.2,9,8,12
16.37,17.96,22.07,22.7,20,18,13
14.52,19.76,12.94,11.49,10,13,12
14.83,16.87,22.09,14.04,11,15,13
19.02,19.31,15.86,15.98,14,19,12
19.48,17.93,16.53,9.61,21,19,12
17.07,16.02,17.36,15.83,15,26,11
21.59,45.94,13.87,9.1,12,25,18
16.8,14.49,15.75,11.71,15,12,14
24.8,18.59,13.9,11.85,13,18,14
12.17,12.45,16.13,15.47,14,17,14
16,12.3,13.45,11.55,10,16,14
25.57,22.71,24.76,20.99,23,33,22
14.71,14.92,16.23,11.26,17,18,10
38.34,19.09,24.98,25.88,20,34,19
18.68,15.73,15,11.4,12,16,17
17.67,16.06,16.46,8.56,11,9,10
13.8,12.21,12.41,7.36,10,11,13
35.6,33.6,41.11,24.76,20,9,23
18.54,19.7,22.14,23.98,21,10,18
14.11,14.05,30.29,17.05,12,12,17
21.09,13.85,11.42,12.16,17,9,11
26.65,22.79,37.99,10.54,18,21,25
15.77,15.66,13.12,11.85,12,11,11
18.49,26.26,11.15,8.18,10,16,12
10.98,14.14,12.27,10.85,13,15,13
48.75,31.74,42.46,31.89,20,39,19
19.4,17.75,25.61,9.81,13,11,14
18.62,19.7,16,15.77,11,12,19
23.56,26.87,28.97,24.14,17,38,40
28.67,17.32,31.69,36.47,20,20,23
16.6,21.86,31.62,10.86,18,27,17
19.56,14.39,15.62,12.87,15,13,11
31.3,18.96,24.62,21.03,25,48,23
13.89,12.94,12.96,11.16,12,8,11
15.61,33.55,28.54,12.92,18,22,21
15.38,14.34,11.97,11.2,9,13,15
40.61,29.65,24.86,37.48,15,25,15
13.44,14.09,15.22,16.36,13,8,13
24.17,34.5,20.63,18.91,11,26,13
16.15,15.94,20.36,32.15,9,12,10
28.22,19.61,42.37,42.67,22,21,20
15.86,17.66,12.77,11.95,14,18,13
17.21,18.03,16.04,19.32,21,18,15
15.35,15.47,16.94,13.19,16,18,14
33.02,36.92,23.25,31.57,21,26,16
23.16,20.64,17.68,17.68,15,45,16
54.82,61.98,55.47,45.05,48,18,30
17.87,16.08,12.12,9.85,10,15,10
17.88,17.44,20.62,15.06,29,42,19
16.93,19.34,17.6,12.4,15,20,22
20.28,18.32,16.88,19.97,15,28,19
11.77,12.27,13.49,11.74,9,21,17
16.01,15.56,27.61,15.29,12,18,17
14.33,17.23,35.69,14.74,14,8,18
18.44,14.84,19.08,18.52,16,21,13
17.14,22.06,20.39,22.43,16,19,13
13.42,20.78,19.78,11.82,14,20,13
22.7,24.95,32.91,9.32,15,19,18
25.71,22.24,19.59,81.24,22,12,17
16.67,17.74,23,13.1,10,22,12
14.72,11.74,11.32,9.01,10,13,11
18.99,29.02,31.42,31.81,21,12,17
15.28,13.61,22.9,13.16,14,19,11
20.4,20.88,24.11,16.28,19,26,25
30.87,34.04,27.22,22.97,20,28,11
42.85,31.47,41.01,27.7,29,40,27
12.55,15.29,15.2,10.07,15,25,15
20.55,22.27,22.44,17.46,13,28,28
16.99,19.06,19.36,8.89,11,42,12
22.15,23.1,13.54,19.84,17,22,23
19,19.65,22.96,11.78,12,17,16
72.06,34.88,42.96,23.28,17,29,19
17.1,14.08,22.88,8.21,15,12,13
13.67,13.94,14.06,17.14,10,17,12
18.83,12.11,10.16,9.52,15,18,11
17.38,13.22,14.64,10.66,12,14,16
65.23,25.75,24.16,32.69,16,16,22
23.51,16.44,22.33,25.54,37,49,25
16,14.09,16.72,9.58,16,23,15
15.03,13.48,24.09,11.94,10,14,13
16.17,25.92,15.35,12.39,12,26,10
17.88,21.32,22.09,18.72,15,22,14
15.58,18.74,15.34,9.61,10,13,13
17.74,14.85,16.07,19.35,13,18,13
17.23,18.76,14.93,10.07,13,16,11
32.12,20.49,21.26,16.79,14,20,20
16.49,22.74,19.79,10.92,8,18,10
17.39,20.51,28.12,48.81,24,21,20
31.61,35.62,28.69,34.39,22,29,22
16.11,13.9,18.54,8.79,12,18,17
12.74,15.8,15.22,17.83,14,12,11
27.68,35.11,35.59,36.37,24,25,24
16.76,15.38,22.79,19.43,16,16,14
19.41,29.85,24.36,12.72,12,13,19
15.89,19.06,17.97,13.48,13,18,14
15.1,15.24,16.25,10.8,11,19,9
19.89,17.65,15.53,15.5,10,13,13
18.32,11.16,10.52,8.54,11,15,18
31.58,61.4,33.31,15.37,20,27,12
13.96,17.56,13.99,11.02,17,17,19
15.27,14.38,23.13,24.67,9,17,15
17.66,14.28,11.47,9.05,9,9,12
15.06,12.38,12.77,12.43,10,12,9
13.78,17.16,16.29,14.78,12,17,23
40,17.85,36.33,39.1,24,10,20
15.36,18.25,13.86,9.87,10,15,11
17.31,20.53,20.67,18.62,16,27,13
13.28,21.42,13.57,8.47,13,14,18
16.24,15.21,20.06,11.15,12,10,12
17.84,15.37,18.15,16.26,16,20,13
17.31,16.16,24.07,21.75,13,20,15
18.53,18.49,21.45,12.37,17,16,29
20.77,15.55,28.85,14.59,19,23,21
19,27.8,29.87,21.78,28,13,41
25.85,25.22,30.99,28.69,20,25,18
17.25,16.13,15.53,11.12,10,15,11
27.9,22.3,32.76,26.57,18,13,27
16.57,16.03,15.64,10.54,10,17,11
16.05,19.93,12.67,8.95,13,15,14
14.51,13.61,11.89,9.25,8,14,15
18.08,17.23,17.25,13.05,16,18,16
18.65,14.34,16.56,9.74,9,16,12
13.38,11.55,11.82,7.4,9,13,12
20.42,28.94,44.96,20.06,24,30,14
12.62,11.22,18.49,16.28,13,17,15
12.68,12.59,13.91,10.12,10,9,11
14.05,13.41,13.11,11.79,16,15,15
34.14,28.15,28.32,23.25,30,14,25
16.25,16.28,13.12,13,15,16,16
34.42,22.26,22.74,17.51,19,17,19
20.31,18.54,18.66,14.22,15,29,13
14.67,14.16,13.54,7.89,11,23,15
17.77,15.44,26.22,8.68,10,27,17
22.07,34.13,27.3,27.29,25,19,25
20.03,23.4,35.86,16.93,11,49,21
16.82,13.45,17.19,11.41,10,12,10
28.06,25.01,20.41,22.89,18,21,14
12.9,14.27,18.65,9.59,9,16,9
15.22,17.53,18.7,12.93,16,18,16
18.22,11.88,15.77,12.54,9,17,9
47.78,29.15,54.32,57.24,27,35,11
14.37,15.5,17.05,10.8,8,8,9
21.36,25.31,32.53,29.03,19,25,28
21.79,18.77,25.45,23.69,18,41,18
19.66,21.86,20.14,20.35,37,43,22
14.55,15.65,13.17,9.1,8,8,10
15.21,14.03,20.73,10.82,10,9,15
17.05,12.91,14.17,14.33,14,18,17
15.25,18.09,21.62,9.17,11,14,9
15.14,12.2,12.49,8.83,11,9,13
20.96,22.76,25.36,31.27,21,24,16
22.5,18.68,27.12,40.11,16,29,20
17.77,19.16,23.7,17.42,18,14,18
16.45,13.35,17.77,9.3,13,10,10
15.6,14.97,18.9,18.39,15,9,17
15.26,15.01,24.84,19.31,18,18,13
13.59,9.81,8.14,6.25,8,14,7
17.67,13.79,16.92,9.51,9,14,18
19.87,15.97,22.55,24.28,17,16,18
21.41,22.04,38.27,24.4,19,22,23
15.66,17.48,15.6,13.53,16,17,12
19,22.22,20.69,16.3,27,16,12
21.76,38.9,21.7,33.04,42,37,22
13.11,12.45,14.74,10.42,11,15,13
17.52,19.29,24.61,12.48,16,18,19
18.09,16.42,17.53,32.8,29,16,18
20.92,23.96,16.52,17.4,10,19,11
21.53,18.76,23.4,14.83,14,25,19
19.69,19.76,18.63,13.31,14,30,12
17.67,16.61,16.63,19.05,14,9,15
14.35,12.65,11.99,9.02,9,11,11
19.51,17.59,15.53,10.86,12,17,9
17.97,18.36,12.5,9.93,12,17,12
42.36,38.04,39.1,40.84,37,43,30
14.87,15.11,14.32,12.96,17,12,16
15.83,27.38,20.29,20.93,14,22,15
19.47,25.08,18.23,12.71,11,19,9
12.82,11.88,10.81,9.06,7,17,11
19.52,21.81,19.27,16.86,14,35,15
14.6,11.81,14.81,11.17,9,16,12
17.61,13.19,24.43,17.88,16,23,12
16.56,16.8,12.05,10.64,11,15,13
15.68,16.24,26.09,19.45,24,36,15
17.16,22.28,16.71,17.41,24,17,12
17.9,17.06,23.35,23.72,13,11,20
17.69,17.73,14.01,11.03,11,22,17
20.92,30.04,31.52,22.64,21,20,20
14.94,12.58,20,10.05,11,23,17
17.16,17.46,21.56,11.05,11,16,13
15.63,14.82,17.29,11.38,10,13,12
18.8,17.75,21.96,11.73,14,22,19
27.57,37.91,41.71,25.59,29,19,17
14.24,12.72,14.19,8.8,10,13,9
19.81,17.3,20.98,20.26,12,8,14
19.12,17.42,21.47,15.01,13,14,9
37.78,37.35,34.98,25.76,15,20,24
20.15,18.56,18.86,18.02,14,26,15
15,14.45,15.96,16.51,10,14,12
17.23,14.74,18.38,8.57,11,17,16
16.81,15.6,13.77,8.61,12,17,21
36.65,48.14,30.85,39.8,26,31,16
15.41,16.08,15.76,12.91,10,17,17
14.29,12.27,15.71,8.04,8,20,14
16.82,15.62,17.48,8.61,9,16,11
26.38,34.22,25.97,22.68,22,22,32
24.7,17.06,22.02,15.37,24,24,15
38.58,20.54,18.76,14.9,21,23,21
22.03,21.87,24.53,18.09,20,35,15
24.35,21.67,30.18,14.57,21,13,28
16.05,15.29,16.9,8.22,12,10,13
16.14,13.34,20.2,16.14,12,25,17
20.12,18.36,14.5,8.44,13,16,18
20.21,25.51,38.11,22.98,24,18,23
21.93,17.48,17.25,19.92,15,8,23
16.12,27.95,28.26,20.08,19,20,19
16.17,18.58,14.74,19.84,12,17,17
16.04,15.96,15.84,9.3,11,16,12
14.33,12.5,15.19,9.55,11,9,14
15.73,21.16,11.69,17.39,12,18,15
16.48,19.99,23.28,18.18,13,16,17
14.92,18.76,23.68,13.4,11,12,14
28.61,28.39,34.87,50.2,60,18,44
20.03,23.4,35.86,16.93,11,34,21
14.2,17.91,12.07,9.09,9,14,12
17.96,16.62,16.58,17.15,13,10,16
16.88,24.59,42.21,10.97,13,17,11
29.46,30,26.81,21.29,35,22,23
15.34,16.69,19.56,11.45,9,12,10
17,13.24,17.61,12.25,12,16,13
15.64,18.1,18.79,18.6,12,16,12
21.44,13.54,19.55,10.83,11,17,12
27.53,29.92,18.65,35.66,16,18,34
13.3,15.33,12.18,15.45,22,13,29
29.31,31.62,26.14,23.46,29,26,18
15.99,14.43,25.7,29.91,22,10,22
14.75,13.36,24.46,13.27,13,29,12
39.99,35.45,39.71,53.67,27,44,30
35.55,24.64,28.87,28.22,22,27,25
14.87,15.1,15.52,12.32,13,16,15
12.76,12,11.41,7.93,8,8,10
18.33,14.76,11.48,11.26,11,14,7
15.26,15.05,15.52,9.05,10,15,15
15.51,20.57,16.3,12.54,16,24,19
16.83,14.38,14.38,7.01,14,23,13
15.55,14.87,14.08,12.17,11,12,14
16.09,13.59,14,10.97,9,13,16
14.94,13.87,20.29,16.05,19,26,11
26.92,20.86,21.59,12.12,24,43,13
19.11,21.51,43.49,11.24,15,66,29
16.05,18.18,13.98,8.64,14,21,13
14.35,14.99,13.65,9.96,11,15,15
20.96,17.76,15.26,21.9,15,16,12
14.98,13.95,28.56,11.79,11,20,13
51.72,46.18,38.58,25.34,18,18,27
16.43,15.17,13.05,11.89,13,22,30
