Image with Poisson Noise,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
69.54398912,86.67538758,105.1188686,126.9035634,87.00270487,237.0185312,245.0592204
89.39528634,132.3822509,128.6436765,161.5786591,121.8081994,181.6304529,165.930277
70.93711641,97.35365128,143.9115993,172.6226647,109.8904035,168.1286973,171.5457883
83.57077729,105.7274556,136.1583253,130.7157198,110.5882444,133.1462382,265.2106262
122.4725297,128.9811264,128.1074508,174.6716956,123.407846,176.7779967,154.8831285
132.4205851,131.9881045,143.2404852,179.1537853,123.0811947,177.2430644,170.5673207
96.24442438,106.764646,143.7641641,135.4404309,112.6697735,162.4020283,232.1959662
93.16332071,122.6170085,137.8140787,167.7866788,117.9765584,174.2982894,173.0854758
123.8792115,124.9620752,152.3558424,181.4581056,136.3951697,170.5422021,291.2989586
127.693213,129.0612829,150.8216989,169.0546923,128.1681519,205.2824376,215.9860541
143.7063408,162.18701,174.8029545,207.5929551,148.3331228,205.6880918,160.6691076
112.9204598,126.4490319,145.6091382,203.0953807,124.3715966,172.157711,183.4668404
114.7999996,103.368934,119.1764707,153.3830474,113.8911409,166.9242759,189.4253951
94.00008594,118.7256707,144.5781418,169.9054305,123.9779563,167.8365177,159.3966561
133.9131782,128.1899654,120.9464361,152.4526095,112.3623424,132.5875025,145.1441095
93.86166263,97.0346699,106.5776989,135.7897602,114.3134792,128.1105045,215.2356107
151.1560378,151.1161307,182.7997141,194.7646471,168.8345959,234.9176652,274.9920714
202.4338761,198.1541268,204.4568998,230.1676501,194.4153544,260.7673178,191.1288593
163.8125477,172.6284676,154.0607589,191.6830964,127.2771613,184.9844225,191.958448
112.3459312,114.5776781,133.4020664,172.119304,116.8932537,179.0535809,131.2855764
73.64177154,89.84141398,110.1122439,159.9750654,94.09269174,124.607345,109.7425368
110.6556214,104.2870954,117.8244819,140.8788138,113.2623521,166.087018,126.2784679
111.7782532,110.2606693,120.8705769,136.9437904,119.5745886,160.0570793,122.3689363
29.43989536,65.58173012,83.15361341,124.8812681,61.64719522,92.9057993,115.5749167
27.57253358,120.5120259,101.8903876,106.144603,64.20277398,64.74648843,243.796287
120.2372703,126.5442591,159.2826127,232.5379553,111.8615302,182.4316351,208.4835289
74.94711597,87.53151562,112.3076937,139.6335195,113.1342036,136.2455582,99.55232084
117.3278879,138.9556384,161.1368365,205.1639764,139.1897958,200.1295948,160.1692302
128.7645357,117.110058,126.70662,145.66181,108.463077,146.938755,240.6311888
74.50920167,95.61142588,122.6830318,166.00919,103.296202,132.5794526,130.473186
82.33895658,107.1064208,134.2518266,161.0454693,112.2680319,142.480903,122.545224
163.6678317,166.8173157,161.4627177,203.6057072,146.654291,215.1558952,165.2031643
80.98434517,104.3251196,71.55547454,109.1917555,89.73997419,101.1395975,402.1131778
59.49686677,75.35441614,86.83747495,100.9570653,86.84610479,74.15499421,283.2183014
205.6207184,197.947402,185.0327247,230.6649718,145.5534669,243.2542071,198.3245109
52.87146651,104.4877355,149.3462445,178.2649097,111.2458281,117.1130837,192.0125203
105.5202172,92.32937533,111.9323132,130.4544544,92.69431885,153.8558348,366.664941
96.93892063,110.6613299,144.6187886,185.3613337,121.0595918,150.7805961,170.5054806
144.8221287,147.3701981,171.7138051,216.0271764,153.6404473,200.9942685,187.6830421
51.3720967,74.35189128,118.5584065,174.869073,82.55822132,132.5986272,122.6837529
84.07502358,98.01058107,127.3878131,167.2507984,104.0063193,134.7205158,124.8670586
98.0482834,116.441866,143.5781405,201.3758866,109.1130626,166.0367233,178.0162589
61.07247942,78.64683255,115.7140744,164.6308054,90.02853599,141.5569876,195.7711485
158.3528883,150.0462515,146.4808399,182.2691099,126.8170389,185.322409,153.4874388
215.29984,196.0824101,216.1248774,258.3897744,185.8637477,263.3696975,238.3375236
76.35725994,128.1037292,135.6947528,144.7439569,111.6139694,108.1876385,344.1855253
133.969054,138.3440361,142.0915674,172.8112177,130.272239,192.6245217,141.9504632
163.8568833,159.4390059,187.5900101,227.0063902,167.1182711,214.8444659,252.6150613
190.8771477,198.8825527,207.883457,258.0848528,179.881646,269.8068391,222.2668296
114.8812713,113.6012906,131.4168001,202.4578404,106.0140104,192.4801732,176.3459133
86.02138929,99.86641501,120.3808034,163.3806204,116.159338,146.5187937,124.7273312
184.4679063,164.3007302,180.8786483,221.4908001,154.1273506,232.7563326,203.3225889
134.0998906,140.5266071,158.799947,177.2862922,135.4679977,230.1128968,238.2692856
76.43226061,95.53207332,116.0792101,181.6449624,86.02628191,146.6194173,180.177793
123.8136737,121.5899258,145.661866,212.8056458,101.0332379,160.2407329,140.013432
192.1085186,177.2906544,179.4501107,227.6027707,147.0454997,230.1309673,159.3752188
108.2310609,116.4506567,124.0640915,147.9118152,129.4033193,166.9692267,178.3518422
56.03680661,61.32439973,100.3567012,111.7688179,98.88395124,83.53972952,145.0387079
156.7299178,136.2252777,147.8921327,198.7643615,127.9911646,173.7857787,266.2610719
144.8556306,134.491484,150.3814359,194.9841265,145.7542786,179.2262637,301.7775481
88.87661871,103.2545491,129.2720757,177.7969714,111.6608886,147.9730759,115.9192192
75.86380404,96.65314152,48.37868101,70.50571545,82.71318457,77.63744748,347.102023
76.74118757,78.58257641,92.96209248,116.6123358,96.05770808,92.83870312,343.3612821
81.40033102,87.69792093,97.60142179,143.8323275,91.49187526,103.9463937,235.6181121
59.5004094,78.33914535,117.7259135,128.1767343,89.3926427,128.8272846,219.5744128
111.1154317,110.6786376,121.9271942,148.4522035,120.2704722,150.7911579,244.0193338
132.3945689,138.7469923,161.6275011,207.1462887,133.3928751,191.2110063,203.271536
