Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
44.23,43,44.85,47.5,66,54,53
43.23,41.16,43.14,57.78,28,27,33
53.49,33.99,29.68,28.03,41,34,47
34.54,34.91,31.27,23.43,29,64,22
44.29,47.96,34.33,35.57,19,56,22
41.87,49.29,31.21,33.39,38,38,44
65.16,53.74,28.83,14.21,21,53,57
90.24,74.18,68.99,61.76,32,31,30
51.75,53.13,36.13,21.09,49,45,43
91.79,53.3,42.52,46.75,61,52,46
89.55,54.27,39.18,33.22,41,32,37
51.55,56.29,34.93,21.41,34,24,74
30.19,29.45,8.74,11.99,27,17,27
32.54,42.09,39.33,31.08,33,32,32
64.91,62.49,31.75,32.73,19,23,29
40.63,46.42,38.76,30.33,24,61,28
52.29,48.9,38.93,31.74,36,36,20
85.39,55.74,41.23,45.75,25,32,16
28.76,48.7,17.25,11.05,51,42,56
47.2,45.02,41.47,39.93,22,31,30
28.87,32.22,34.49,41.68,48,41,54
41.63,47.29,41.89,31.57,59,40,32
51.78,45.18,40.4,32.49,32,15,31
39.76,43.8,39.55,33.16,66,51,38
38.17,39.68,34.79,34.45,41,29,30
39.37,47.19,40.63,31.37,29,23,41
43.98,51.44,37.19,25.37,24,34,27
47.45,50.45,41.85,33.09,29,30,32
39.38,44.25,39.6,36.22,40,38,42
37.66,44.07,27.39,13.15,42,38,39
51.9,40.98,42.58,45.51,64,61,79
42.97,46.39,52.12,41.43,13,64,51
60.48,57.91,52.9,54.83,43,50,28
60.59,56.73,30.77,35,41,110,44
62.62,41.06,33.08,26.63,39,41,42
40.98,50.52,40.59,21.88,22,36,7
44.36,55.72,30.44,16.35,45,34,43
43.35,45.26,42.2,34.56,49,9,45
46.19,49.3,36.61,32.09,52,35,57
59.07,51.15,30.33,25.68,41,38,46
45.14,48.45,24.59,29.28,20,24,25
75.08,47.35,29.74,33.3,39,27,32
46.85,49.75,35.86,26.46,30,29,21
40.46,33.61,28.07,34.98,31,25,23
51.27,51.69,45.12,33.85,72,66,47
41.78,44.62,37.95,24.39,44,21,36
56.5,60.61,42.65,28.88,38,29,35
36.81,37.05,45.87,42.24,19,33,16
41.16,36.61,31.82,31.02,35,11,39
40.41,39.86,30.55,27.62,44,35,53
36.7,35.99,32.31,37.36,70,66,42
36.18,32.45,29.3,23.3,42,27,44
41.96,47.19,34.36,29.07,43,29,24
26.75,32.46,24.11,20.02,22,46,13
69.67,72.18,48.56,39.45,63,46,40
43.29,46.76,27.27,16.62,17,38,66
53.58,45.78,35.88,22.31,78,62,59
44.67,46.97,37.29,31.05,28,17,25
65.57,53.62,43.16,47.34,22,25,24
41.72,48.81,38.25,26.77,51,43,57
72.26,71.1,55.47,36.72,18,26,25
57.44,44.74,38.69,69.98,45,46,50
39.15,35.33,34.03,23.83,30,40,48
48.93,57.45,48.06,33.65,50,55,51
45.45,44.63,45.07,38.59,27,39,20
75.93,57.86,36.87,39.33,43,30,46
45.49,55.52,39.62,28.65,27,39,39
42.88,53.42,32.09,27.62,25,14,25
56.78,63.31,49.79,41.6,37,77,21
106.61,49.44,63.05,64.75,42,34,35
40.26,53.13,35.6,27.74,58,45,46
40.04,39.93,43.36,41.72,81,70,60
55.52,58.79,36.29,22.32,43,49,56
47.71,43.96,41.96,40.26,29,23,34
47.01,48.3,34.44,23.51,58,32,47
42.67,49.98,31.76,27.23,28,37,40
48.51,55.48,32.28,22.8,46,37,37
39.85,49.6,32.9,25.55,38,34,36
55.67,36.17,41.49,30.8,40,25,43
60.19,46.33,56.89,59.82,20,41,18
48.88,49.95,42.83,33.02,43,42,41
50.14,44.44,44.62,37.94,63,54,50
35.69,38.38,38.55,27.83,27,26,28
59.74,39.35,34.08,32.86,34,34,37
51.11,51.63,36.21,40.42,32,31,17
57.86,50.33,46.68,38.62,39,19,27
36.45,45.39,31.56,35.96,28,26,22
42.66,45.17,41.5,31.23,56,49,49
40.35,42.73,37.91,33.11,47,38,42
44.16,49.57,44.92,32.49,27,12,25
50.53,46.35,38.32,32,21,24,13
59.26,54.71,36.13,44.42,34,34,34
88.04,42.73,36.26,28.36,37,39,42
34.01,42.06,23.66,19.29,45,42,43
37.21,49.23,37.91,25.03,62,73,59
54.69,60.46,28.02,21.07,48,70,45
46.9,40.2,34.47,30.69,25,29,25
45.12,48.93,46.82,42.8,28,23,25
39,42.37,43.38,37.07,27,40,14
32.1,29.09,35.62,27.34,38,28,40
61.25,51.39,37.49,29.9,41,40,42
57.52,42.01,26.63,25.09,40,37,40
47.75,60.67,34.45,27.8,23,39,23
48.27,54.42,42.91,38.52,42,38,48
40.72,45.55,37.93,38.53,36,42,48
95.22,66.45,64.3,64.87,20,45,33
40.66,45.99,40.46,25.46,38,36,38
60.48,56.26,40.32,30.89,19,46,27
52.1,54.09,36.44,26.89,26,59,15
35.38,40.72,37.43,26.78,33,22,24
35.76,43.91,36.64,30.2,42,33,40
47.89,54.78,44.2,37.2,28,30,27
47.85,53.45,40.57,30.25,67,59,46
51.46,52.17,43.4,41.22,88,85,43
38.49,42.42,30.79,34.02,47,43,47
20.92,20.48,21.84,16.69,62,62,28
39.11,45.34,48.61,51.92,28,21,21
35.67,43.29,33.72,20.76,22,32,23
72.73,37.37,32.78,33.86,41,35,41
38.36,52.53,31.79,24.87,16,58,50
46.87,51.24,31.94,27.45,24,67,60
49.24,46.76,41.01,38.59,46,7,29
41.22,46.5,34.34,28.63,37,34,42
12.98,22.95,20.33,22.19,30,35,32
48.22,40.28,44.35,42.95,46,38,43
58.27,54.75,35.55,24.65,42,40,25
71.62,40.82,33.69,35.18,44,34,39
37.75,42.36,39.04,36.86,57,48,39
46.97,38.26,37.7,24.01,40,34,40
34.59,35.96,38.77,54.04,90,87,40
65.16,55.43,40.17,36.66,35,17,21
33.91,30.15,43.05,62.37,35,49,42
85.59,79.83,76.16,74.09,45,37,46
54.3,50.37,39.65,36.7,26,42,19
47.8,35.55,35.45,22.11,43,30,48
52.8,55.42,47.07,24.46,52,50,50
36.04,33.44,40.8,50.76,29,35,27
53.4,42.38,36.46,34.85,43,38,31
39.25,45.6,45.13,34.54,51,35,48
36.38,41.36,37.06,30.62,23,66,15
36.64,32.75,42.21,52.24,30,24,36
49.65,70.09,40.96,21.61,45,32,28
49.05,57.14,37.98,27.45,33,21,30
42.59,48.72,34.83,33.7,75,79,61
43.58,50.99,39.69,28.6,34,31,39
40.22,45.19,46.09,34.69,34,20,26
57.22,49.75,32.29,36.41,36,38,29
47.65,48.48,46.22,46.36,57,43,48
69.08,57.65,46.52,31.22,38,28,42
85.88,70.97,52.15,54.16,31,64,21
41.8,46.68,40.87,36.65,33,50,43
65.95,64.86,63.14,66,27,19,29
47.16,42.51,34.83,38.61,66,24,48
51.7,54.17,27.28,34.22,54,38,49
41.35,46.38,37.38,28.25,46,45,55
42.13,46.3,32.85,25.07,39,31,46
42.32,37.49,48.17,45.97,14,37,26
38.67,37.34,28.95,24.87,59,43,46
65.5,58.27,43.3,35.42,20,49,20
54.95,45.79,35.46,45.03,25,66,50
40.06,37.52,27.78,21.48,42,46,46
33.56,46.97,37.18,28.82,20,58,36
45.42,47.29,34.21,30.17,23,34,21
39.83,38.67,34.33,33.12,69,73,76
38.97,44.79,40.81,31.35,29,126,33
49.85,48.62,31.34,24.04,22,28,23
36.08,41.91,35.69,35.02,23,19,22
45.46,39.01,32.08,33.27,22,32,17
43.68,45.73,28.35,22.57,40,34,49
40.79,40.18,25.36,34.72,44,40,51
28.65,34.15,31.7,42.25,28,25,12
35.5,33.02,24.34,18.9,24,33,17
53.04,41.89,32.3,26.8,48,71,43
42.99,47.74,42.3,26.97,25,49,22
58.65,69.13,43.42,33.29,44,25,29
56.88,50.39,51.7,53.75,32,28,20
