Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
49.74,54.33,29.08,24.86,40,36,16
9.09,23.67,21.4,5.7,32,36,10
44.36,44.17,16.6,4.03,28,14,8
39.05,46.81,17.04,3.89,28,8,23
46.52,56.54,28.31,7.68,41,19,19
46.41,52.81,23.85,4.28,35,9,43
54.61,60.77,44.21,16.75,50,47,47
49.72,50.51,17.6,4.08,26,10,26
45.85,55.06,56.09,26.41,48,16,47
53.37,56.33,44.68,16.78,52,50,39
48.61,56.52,52.47,14.84,48,17,33
48.34,50.52,30.16,6.4,43,25,32
42.5,43.41,28.91,5.31,29,37,13
11.11,50.46,30.09,7.1,45,46,29
70.64,55.89,24.87,3.06,39,31,33
9.09,37.89,24.75,4.97,19,28,8
45.58,42,23.14,5.04,28,30,22
26.17,34.38,24.26,3.39,27,22,18
45.35,42.14,39.16,19.15,48,27,34
33,46.96,37.94,12,24,8,33
49.6,56.27,19.48,6.5,36,21,17
41.7,49.26,15.83,2.77,30,8,41
30.75,34.88,9.98,3.4,9,28,24
57.59,38.8,30.76,7.88,30,30,12
55.28,39.96,54.29,29.03,40,14,48
48.72,46.88,16.2,3.94,15,8,14
35.01,43.14,38.91,12.75,40,22,31
100,31.26,19.31,4.69,35,41,43
56.25,59.52,30.86,9.85,43,22,39
49.1,48.65,29,7.23,25,35,10
50.45,55.83,25.25,4.76,38,17,42
58.65,58.94,21.61,5.04,35,41,37
43.63,48.78,30.86,4.58,38,10,41
65.03,50.96,30.9,9.86,37,48,24
50.29,58.34,29.3,5.31,41,9,40
52.75,46.24,28.7,5.21,40,40,28
48.87,53.39,32.75,7.85,39,29,45
57.46,59,34.35,7.55,38,46,9
35.51,65.05,19.53,3.02,29,15,35
44.11,46.26,38.86,18.42,39,13,39
48.81,50.7,34.1,20.19,43,22,32
40.2,50.12,40.44,13.45,44,21,21
41.57,51.8,24.79,4.25,42,24,25
54.5,60.89,28.58,6.56,41,36,51
61.68,54.33,45.58,14.19,47,48,57
35.22,45.8,34.3,4.58,35,15,49
42.55,55.13,33.54,6.73,40,28,43
49.9,44.97,33.86,8.55,47,25,21
52.12,54.72,47.05,26.72,50,20,55
10,45.23,10.47,5.6,26,15,29
31.93,48.9,25.91,3.01,37,8,40
53.3,50.58,35.12,7.76,42,20,48
64.95,54.24,28.79,9.39,33,45,15
27.79,45.13,28.97,7.03,41,33,29
54,52.55,41.71,7.87,45,27,22
48.8,54.09,33.74,5.87,43,22,44
34.62,50.08,13.1,4.58,21,6,19
55.71,55.38,40.96,13.43,50,37,47
61.49,46.34,49.32,25.01,53,56,27
59.95,44.95,11.5,3.12,31,42,19
50.24,51.5,37.62,15.45,46,39,41
72.58,55.36,33.39,5.75,37,39,42
37.57,55.56,26.59,4.7,30,9,32
49.5,58.63,45.23,11.51,47,35,34
49.82,57.43,41.77,18.83,50,22,46
