Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
33.43959914,84.74340187,100.0131161,118.0443389,91.16116694,75.469751,104.3741241
297.0165416,49.14241797,70.91417855,83.71617011,299.8949306,305.0080356,124.1137944
35.36475348,83.32008051,88.25001214,118.5551671,77.96094561,80.01041509,136.3020439
90.09515665,105.2852586,117.6627885,151.8057939,119.6872067,147.5920256,115.7987006
51.83290311,85.52472126,117.0387039,114.7591305,106.0102107,106.8490877,104.4883315
103.8070508,120.4463789,128.7675046,147.6922637,127.0815882,173.0254671,163.7255835
59.41895784,74.96973713,100.5463816,108.2020503,100.1642481,115.194879,94.04747764
54.25825819,90.07821828,126.9821765,148.6653053,98.80539721,109.4001223,150.2796368
73.05562908,105.5940496,101.2571292,86.83858404,108.8587422,107.3616712,239.3906768
31.08775452,90.1074561,95.96894207,96.87676335,61.87671451,147.5110883,281.1176145
75.75370356,76.57659863,60.7115178,81.41246921,90.67804987,90.78528498,148.3422122
34.31867504,79.9148983,86.44226178,103.0720198,83.73057793,97.67513388,113.279983
82.72983241,102.6410991,110.270307,138.9468857,106.322467,118.1995535,87.04275774
81.61563341,96.0106574,118.2665143,124.4751323,106.268422,132.8610749,146.9075194
24.53409501,91.77532779,94.97939817,108.8342714,63.69782715,88.49594675,159.7973853
22.25380251,59.46436804,85.49455534,132.7435296,62.14419584,83.03977169,111.8491237
28.96936776,100.0244266,98.12995694,117.3471492,79.74259544,73.66665625,199.7498799
124.4529295,140.3416847,158.2661883,173.7114279,153.4310516,196.8858573,178.9357634
66.07681469,86.44268585,110.1423913,126.6638075,113.0596177,97.76531422,239.6937635
53.52825145,68.13106306,86.35768689,115.7859828,71.18141835,150.3896649,150.3511884
80.1390925,97.26695458,113.2899389,146.1888954,110.089083,137.847713,144.5507648
71.48755937,92.06071523,113.4140482,107.9331993,114.3702846,138.4684186,122.1749481
37.85396937,88.77882055,106.290638,120.9032798,86.01553454,81.52393915,153.4760874
54.15693217,86.78862052,87.85857954,101.7950712,97.0559935,82.87322733,201.2189876
29.21342013,85.74944293,105.3725891,126.0954781,79.06056331,75.76013453,130.6790037
71.38743989,79.25718838,82.88089879,114.3851703,84.62759045,55.50793412,101.2756424
87.96336778,109.9031149,126.0149709,150.3904894,120.2324304,147.6307281,118.3859704
282.6801608,63.09675718,47.21188,56.93444913,263.6321649,265.8800689,208.0738204
67.70626884,100.0953575,109.7535617,110.8847971,101.0293654,143.2378674,210.4292239
65.69534761,99.67257434,117.1545617,148.5018667,107.7915354,116.9034454,180.9516404
280.0337225,71.53834299,89.22027079,100.7014725,313.3427235,306.3343822,102.2535011
104.3058678,126.9400031,140.8569184,166.9147759,137.8021068,177.1053371,174.97363
49.79501214,121.3860336,132.9749454,147.4442465,101.3369315,109.6755513,168.0625921
61.2581368,76.90883012,105.5396624,118.6237323,102.950733,125.3277046,118.9764579
